year,month,date,value
2002,12,29,54.84
2002,12,30,39.52
2002,12,31,6.48
2003,1,1,37.17
2003,1,2,58.92
2003,1,3,49.92
2003,1,4,21.03
2003,1,5,22.6
2003,1,6,30.05
2003,1,7,44.07
2003,1,8,21.78
2003,1,9,44.75
2003,1,10,47.25
2003,1,11,35.09
2003,1,12,44.86
2003,1,13,32.3
2003,1,14,41.48
2003,1,15,44.26
2003,1,16,41.95
2003,1,17,25.05
2003,1,18,29.21
2003,1,19,40.7
2003,1,20,45.74
2003,1,21,26.99
2003,1,22,44.37
2003,1,23,54.3
2003,1,24,64.5
2003,1,25,60.34
2003,1,26,79.93
2003,1,27,74.71
2003,1,28,38.18
2003,1,29,78.67
2003,1,30,75.79
2003,1,31,15.3
2003,2,1,28.09
2003,2,2,54.91
2003,2,3,73.48
2003,2,4,69.24
2003,2,5,87.06
2003,2,6,86.04
2003,2,7,78.15
2003,2,8,80.93
2003,2,9,77.63
2003,2,10,81.5
2003,2,11,74.97
2003,2,12,80.3
2003,2,13,89.25
2003,2,14,93.01
2003,2,15,85.95
2003,2,16,84.55
2003,2,17,60.16
2003,2,18,32.02
2003,2,19,38.3
2003,2,20,76.17
2003,2,21,100.99
2003,2,22,99.59
2003,2,23,95.51
2003,2,24,96.19
2003,2,25,105.4
2003,2,26,102.54
2003,2,27,97.05
2003,2,28,87.36
2003,3,1,100.53
2003,3,2,97.09
2003,3,3,91.14
2003,3,4,95.46
2003,3,5,110.13
2003,3,6,112.3
2003,3,7,112.89
2003,3,8,113.65
2003,3,9,102.34
2003,3,10,101.58
2003,3,11,104.41
2003,3,12,97.62
2003,3,13,99.81
2003,3,14,89.82
2003,3,15,87.7
2003,3,16,97.96
2003,3,17,107.73
2003,3,18,110.66
2003,3,19,80.68
2003,3,20,117.45
2003,3,21,118.45
2003,3,22,116.01
2003,3,23,107.41
2003,3,24,110.48
2003,3,25,114.88
2003,3,26,114.19
2003,3,27,117.88
2003,3,28,115.99
2003,3,29,110.91
2003,3,30,104.52
2003,3,31,130.7
2003,4,1,129.79
2003,4,2,131.32
2003,4,3,108.5
2003,4,4,104.08
2003,4,5,128.57
2003,4,6,128.09
2003,4,7,129.09
2003,4,8,133.1
2003,4,9,130.17
2003,4,10,123.66
2003,4,11,112.91
2003,4,12,123.59
2003,4,13,123.43
2003,4,14,115.54
2003,4,15,125.61
2003,4,16,118.55
2003,4,17,132.41
2003,4,18,133.38
2003,4,19,122.84
2003,4,20,125.2
2003,4,21,123.73
2003,4,22,135.42
2003,4,23,136.07
2003,4,24,131.17
2003,4,25,120.81
2003,4,26,128.98
2003,4,27,84.78
2003,4,28,124.28
2003,4,29,115.43
2003,4,30,131.2
2003,5,1,134.41
2003,5,2,128.05
2003,5,3,102.32
2003,5,4,108.88
2003,5,5,117.87
2003,5,6,110.9
2003,5,7,113.94
2003,5,8,112.73
2003,5,9,121.86
2003,5,10,121.43
2003,5,11,122.48
2003,5,12,117.25
2003,5,13,117.34
2003,5,14,124.48
2003,5,15,133.99
2003,5,16,142.45
2003,5,17,139.73
2003,5,18,130.98
2003,5,19,135.59
2003,5,20,123.38
2003,5,21,123.82
2003,5,22,95.45
2003,5,23,117.74
2003,5,24,130.24
2003,5,25,121.98
2003,5,26,126.61
2003,5,27,138.52
2003,5,28,133.48
2003,5,29,118.23
2003,5,30,138.28
2003,5,31,140.29
2003,6,1,138.36
2003,6,2,133.5
2003,6,3,137.15
2003,6,4,125.42
2003,6,5,116.48
2003,6,6,109.09
2003,6,7,93.43
2003,6,8,78.58
2003,6,9,97.16
2003,6,10,99.07
2003,6,11,97.06
2003,6,12,104.73
2003,6,13,114.68
2003,6,14,123.34
2003,6,15,128.75
2003,6,16,131.01
2003,6,17,133.16
2003,6,18,96.22
2003,6,19,107.81
2003,6,20,80.63
2003,6,21,129.88
2003,6,22,36.23
2003,6,23,117.77
2003,6,24,104.81
2003,6,25,95.53
2003,6,26,105.66
2003,6,27,106.91
2003,6,28,108.77
2003,6,29,100.81
2003,6,30,103.61
2003,7,1,99.31
2003,7,2,113.0
2003,7,3,99.49
2003,7,4,86.2
2003,7,5,75.21
2003,7,6,133.34
